timestamp,ch0,ch1
3708370.546,-13,844
3708370.546,4,830
3708370.555,83,766
3708370.555,108,748
3708370.574,109,748
3708370.574,92,763
3708370.574,13,826
3708370.574,-11,843
3708370.58,-12,846
3708370.58,4,831
3708370.586,83,767
3708370.586,108,749
3708370.595,110,748
3708370.595,94,763
3708370.604,14,826
3708370.604,-12,844
3708370.61,-14,844
3708370.61,5,829
3708370.619,85,766
3708370.619,109,748
3708370.628,108,748
3708370.628,92,763
3708370.634,14,827
3708370.634,-11,843
3708370.643,-12,843
3708370.643,6,829
3708370.652,83,765
3708370.652,106,748
3708370.661,109,748
3708370.661,94,763
3708370.667,14,826
3708370.667,-13,843
3708370.675,-14,844
3708370.675,3,828
3708370.693,84,765
3708370.693,112,747
3708370.693,113,747
3708370.693,88,762
3708370.716,10,826
3708370.716,-14,843
3708370.731,-15,844
3708370.731,2,829
3708370.732,82,765
3708370.732,107,749
3708370.735,107,747
3708370.735,90,762
3708370.736,9,826
3708370.736,-14,844
3708370.742,-15,844
3708370.742,0,829
3708370.749,82,765
3708370.749,108,749
3708370.755,109,748
3708370.755,91,764
3708370.763,13,828
3708370.763,-12,845
3708370.77,-13,844
3708370.77,4,829
3708370.78,83,766
3708370.78,108,749
3708370.787,109,747
3708370.787,92,764
3708370.795,12,827
3708370.795,-15,846
3708370.809,-14,846
3708370.809,4,830
3708370.812,82,768
3708370.812,109,749
3708370.819,108,749
3708370.819,91,763
3708370.838,12,827
3708370.838,-13,844
3708370.838,-15,844
3708370.838,4,830
3708370.845,82,767
3708370.845,108,750
3708370.852,108,749
3708370.852,91,763
3708370.86,13,827
3708370.86,-12,844
3708370.87,-13,844
3708370.87,4,831
3708370.874,84,766
3708370.874,108,749
3708370.883,109,749
3708370.883,93,764
3708370.892,12,828
3708370.892,-14,845
3708370.898,-13,845
3708370.898,6,831
3708370.907,84,768
3708370.907,107,750
3708370.916,110,749
3708370.916,91,764
3708370.924,14,826
3708370.924,-13,845
3708370.931,-13,846
3708370.931,4,829
3708370.94,83,766
3708370.94,108,749
3708370.951,110,749
3708370.951,93,764
3708370.953,14,829
3708370.953,-11,846
3708370.962,-14,845
3708370.962,4,830
3708370.983,82,765
3708370.983,108,749
3708370.983,109,750
3708370.983,93,764
3708370.988,13,828
3708370.988,-13,846
3708370.994,-11,846
3708370.994,4,830
3708371.017,80,766
3708371.017,106,749
3708371.03,108,749
3708371.03,89,763
3708371.032,9,827
3708371.032,-14,845
